"Name","Red","Green","Blue"
"Red",255,0,0
"RoyalBlue",65,105,225
"Green",0,128,0
"Purple",128,0,128
"Orange",255,165,0
"Yellow",255,255,0
"Cyan",0,255,255
"Olive",128,128,0
"Coral",255,127,80
"DeepPink",255,20,147
"White",255,255,255
"MediumSlateBlue",123,104,238
"Sienna",160,82,45
"SkyBlue",135,206,235
"Tomato",255,99,71
"Wheat",245,222,179
"Lightcoral",240,128,128
"DarkSlateGray",47,79,79
"Teal",0,128,128
"FireBrick",178,34,34
"LightGoldenrodYellow",250,250,210
"MediumPurple",147,112,216
"Lime",0,255,0
"Indigo",75,0,130
"Tan",210,180,140
"YellowGreen",154,205,50
"Goldenrod",218,165,32
"BrightLavendar",192,192,255
"OliveDrab",107,142,35
"OrangeRed",255,83,0
"Aquamarine",127,255,212
"MediumOrchid",186,85,211
"PaleVioletRed",219,112,147
"IndianRed",205,92,92
"Salmon",250,128,114
